persona,Compassion for those who are suffering is the most crucial virtue.,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",I am proud of my country’s history.,Respect for authority is something all children need to learn.,"People should not do things that are disgusting, even if no one is harmed.",It is better to do good than to do bad.,One of the worst things a person could do is hurt a defenseless animal.,Justice is the most important requirement for a society.,"People should be loyal to their family members, even when they have done something wrong.",Men and women each have different roles to play in society.,I would call some acts wrong on the grounds that they are unnatural.,It can never be right to kill a human being.,I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.,It is more important to be a team player than to express oneself.,"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.",Chastity is an important and valuable virtue.
"closed to experience, conscientious, highly introverted, agreeable and emotionally stable",5,5,4,4,5,5,5,4,3,3,4,5,5,4,5,4
"closed to experience, conscientious, slightly introverted, agreeable and emotionally stable",5,4,4,4,4,5,5,4,3,3,4,5,4,4,5,3
"closed to experience, conscientious, introverted, highly agreeable and emotionally stable",5,5,5,4,5,5,5,4,5,4,4,5,5,4,5,5
"closed to experience, conscientious, introverted, slightly agreeable and emotionally stable",3,3,3,3,4,3,3,4,3,3,3,3,3,2,4,3
"closed to experience, conscientious, introverted, agreeable and highly emotionally stable",5,5,4,4,5,5,5,5,5,3,4,5,5,4,5,4
"closed to experience, conscientious, introverted, agreeable and slightly emotionally stable",5,4,3,4,3,5,5,4,4,3,3,5,3,4,5,4
"highly closed to experience, conscientious, introverted, antagonistic and neurotic",0,1,1,1,5,1,1,1,1,0,5,5,1,0,4,1
"slightly closed to experience, conscientious, introverted, antagonistic and neurotic",2,1,1,2,3,2,2,2,1,1,4,5,4,2,3,2
"closed to experience, highly conscientious, introverted, antagonistic and neurotic",1,1,1,1,5,1,1,1,0,1,5,5,1,2,4,1
"closed to experience, slightly conscientious, introverted, antagonistic and neurotic",0,2,1,1,4,2,1,1,1,1,4,5,2,1,2,1
"closed to experience, conscientious, highly introverted, antagonistic and neurotic",0,1,1,1,5,1,1,1,0,1,4,2,1,0,3,1
"closed to experience, conscientious, slightly introverted, antagonistic and neurotic",0,1,1,1,5,1,1,1,1,1,5,5,1,1,3,1
"closed to experience, conscientious, introverted, highly antagonistic and neurotic",0,1,1,1,1,0,0,1,0,0,5,5,1,0,0,1
"closed to experience, conscientious, introverted, slightly antagonistic and neurotic",2,1,1,2,5,3,2,2,1,1,3,5,4,2,3,1
"closed to experience, conscientious, introverted, antagonistic and highly neurotic",1,1,1,1,5,0,0,1,0,0,4,5,1,0,3,1
"closed to experience, conscientious, introverted, antagonistic and slightly neurotic",2,1,1,1,5,2,2,2,1,1,4,5,1,1,2,2
"highly closed to experience, conscientious, introverted, antagonistic and emotionally stable",0,1,1,1,4,0,0,1,0,3,4,1,1,0,4,1
"slightly closed to experience, conscientious, introverted, antagonistic and emotionally stable",1,2,1,1,3,1,1,2,1,3,4,5,4,2,3,1
"closed to experience, highly conscientious, introverted, antagonistic and emotionally stable",0,1,1,1,4,0,1,1,1,2,4,5,1,2,4,0
"closed to experience, slightly conscientious, introverted, antagonistic and emotionally stable",1,1,1,1,2,0,2,1,2,0,2,5,2,2,2,1
"closed to experience, conscientious, highly introverted, antagonistic and emotionally stable",0,1,1,1,5,1,0,1,1,0,4,5,2,0,5,0
"closed to experience, conscientious, slightly introverted, antagonistic and emotionally stable",1,1,1,1,5,0,1,2,2,0,1,5,1,1,5,1
"closed to experience, conscientious, introverted, highly antagonistic and emotionally stable",0,1,0,0,1,0,0,2,1,0,2,1,0,0,1,1
"closed to experience, conscientious, introverted, slightly antagonistic and emotionally stable",2,4,2,2,4,4,3,4,2,2,4,5,4,2,3,4
"closed to experience, conscientious, introverted, antagonistic and highly emotionally stable",1,1,1,0,5,0,0,1,2,0,2,5,1,1,4,1
"closed to experience, conscientious, introverted, antagonistic and slightly emotionally stable",1,1,1,2,1,1,1,1,1,1,4,1,1,1,3,1
"highly closed to experience, unconscientious, extroverted, agreeable and neurotic",5,5,5,5,4,5,5,5,5,4,4,5,5,4,5,3
"slightly closed to experience, unconscientious, extroverted, agreeable and neurotic",5,4,4,4,5,5,5,4,4,3,4,5,4,4,4,3
"closed to experience, highly unconscientious, extroverted, agreeable and neurotic",5,5,5,5,5,5,5,4,5,4,4,5,5,4,5,1
"closed to experience, slightly unconscientious, extroverted, agreeable and neurotic",4,4,4,4,5,5,3,4,3,3,4,5,4,4,3,3
"closed to experience, unconscientious, highly extroverted, agreeable and neurotic",4,5,5,5,3,5,3,4,4,4,3,5,4,4,5,2
"closed to experience, unconscientious, slightly extroverted, agreeable and neurotic",5,3,3,3,5,5,3,3,3,4,2,3,3,4,3,3
"closed to experience, unconscientious, extroverted, highly agreeable and neurotic",5,4,5,5,5,5,5,4,5,5,4,5,5,5,5,3
"closed to experience, unconscientious, extroverted, slightly agreeable and neurotic",2,3,2,3,3,3,2,2,1,3,2,2,2,2,1,1
"closed to experience, unconscientious, extroverted, agreeable and highly neurotic",5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,1
"closed to experience, unconscientious, extroverted, agreeable and slightly neurotic",3,4,4,4,5,5,4,4,4,3,4,5,5,3,4,3
"highly closed to experience, unconscientious, extroverted, agreeable and emotionally stable",5,5,5,4,4,5,5,5,5,4,3,5,5,4,5,5
"slightly closed to experience, unconscientious, extroverted, agreeable and emotionally stable",3,5,4,4,3,5,5,4,4,3,4,5,4,4,4,4
"closed to experience, highly unconscientious, extroverted, agreeable and emotionally stable",5,5,5,5,5,5,5,5,5,5,3,5,4,4,5,1
"closed to experience, slightly unconscientious, extroverted, agreeable and emotionally stable",5,4,4,4,4,5,5,4,4,3,4,5,4,3,4,4
"closed to experience, unconscientious, highly extroverted, agreeable and emotionally stable",5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5
"closed to experience, unconscientious, slightly extroverted, agreeable and emotionally stable",3,3,4,3,3,5,3,3,4,3,3,5,3,3,4,4
"closed to experience, unconscientious, extroverted, highly agreeable and emotionally stable",5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,3
"closed to experience, unconscientious, extroverted, slightly agreeable and emotionally stable",2,3,3,2,3,3,2,3,3,3,2,2,3,2,3,1
"closed to experience, unconscientious, extroverted, agreeable and highly emotionally stable",5,5,5,5,5,5,5,5,5,5,3,5,5,4,5,5
"closed to experience, unconscientious, extroverted, agreeable and slightly emotionally stable",3,4,4,4,4,5,4,5,4,3,3,3,3,3,5,5
"highly closed to experience, unconscientious, extroverted, antagonistic and neurotic",0,0,1,0,0,0,0,0,0,3,3,0,0,0,1,0
"slightly closed to experience, unconscientious, extroverted, antagonistic and neurotic",0,1,2,1,1,1,0,2,1,4,3,1,1,0,0,1
"closed to experience, highly unconscientious, extroverted, antagonistic and neurotic",0,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0
"closed to experience, slightly unconscientious, extroverted, antagonistic and neurotic",1,2,2,1,1,1,1,1,1,3,4,2,2,0,1,0
"closed to experience, unconscientious, highly extroverted, antagonistic and neurotic",0,0,1,0,1,1,0,0,0,1,5,0,0,0,2,0
"closed to experience, unconscientious, slightly extroverted, antagonistic and neurotic",0,1,1,0,1,2,0,1,0,1,4,0,2,0,0,0
"closed to experience, unconscientious, extroverted, highly antagonistic and neurotic",0,0,0,0,1,0,2,0,0,0,5,0,0,0,1,0
"closed to experience, unconscientious, extroverted, slightly antagonistic and neurotic",0,1,2,1,1,2,1,2,1,1,3,1,2,1,1,1
"closed to experience, unconscientious, extroverted, antagonistic and highly neurotic",0,0,0,0,0,0,2,0,0,0,5,0,0,0,1,0
"closed to experience, unconscientious, extroverted, antagonistic and slightly neurotic",0,1,1,1,2,1,0,1,1,1,0,0,1,0,1,0
"highly closed to experience, unconscientious, extroverted, antagonistic and emotionally stable",0,0,1,0,1,1,0,0,1,1,2,0,0,0,0,0
"slightly closed to experience, unconscientious, extroverted, antagonistic and emotionally stable",1,1,1,1,0,0,0,1,1,1,1,1,2,0,1,1
"closed to experience, highly unconscientious, extroverted, antagonistic and emotionally stable",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"closed to experience, slightly unconscientious, extroverted, antagonistic and emotionally stable",1,1,1,1,1,1,0,1,1,5,2,1,2,2,1,1
"closed to experience, unconscientious, highly extroverted, antagonistic and emotionally stable",0,0,1,0,1,1,0,1,0,0,0,0,1,0,2,0
"closed to experience, unconscientious, slightly extroverted, antagonistic and emotionally stable",0,0,1,2,1,2,0,0,0,5,2,1,1,0,0,1
"closed to experience, unconscientious, extroverted, highly antagonistic and emotionally stable",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"closed to experience, unconscientious, extroverted, slightly antagonistic and emotionally stable",1,2,2,2,1,2,2,1,1,1,2,2,1,1,1,1
"closed to experience, unconscientious, extroverted, antagonistic and highly emotionally stable",0,0,1,1,0,1,0,0,1,0,1,0,0,2,1,0
"closed to experience, unconscientious, extroverted, antagonistic and slightly emotionally stable",0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0
"highly closed to experience, unconscientious, introverted, agreeable and neurotic",4,3,3,2,4,5,5,4,5,4,3,5,3,4,5,4
"slightly closed to experience, unconscientious, introverted, agreeable and neurotic",3,3,3,3,4,5,5,4,3,3,3,5,3,3,3,4
"closed to experience, highly unconscientious, introverted, agreeable and neurotic",5,3,2,2,4,5,5,3,3,4,3,5,5,4,5,3
"closed to experience, slightly unconscientious, introverted, agreeable and neurotic",4,3,3,4,5,3,5,3,3,3,3,5,3,4,3,4
"closed to experience, unconscientious, highly introverted, agreeable and neurotic",3,3,2,3,5,3,5,4,3,4,3,3,3,4,5,4
"closed to experience, unconscientious, slightly introverted, agreeable and neurotic",3,3,3,3,4,3,5,3,3,3,3,3,3,3,5,3
"closed to experience, unconscientious, introverted, highly agreeable and neurotic",5,4,3,5,5,5,5,4,3,4,3,5,5,5,5,5
"closed to experience, unconscientious, introverted, slightly agreeable and neurotic",3,3,2,2,4,3,3,1,1,1,3,3,2,2,1,2
"closed to experience, unconscientious, introverted, agreeable and highly neurotic",3,3,2,5,5,5,5,5,3,3,5,5,5,3,5,4
"closed to experience, unconscientious, introverted, agreeable and slightly neurotic",3,4,3,3,4,3,3,4,3,3,3,5,3,3,3,4
"highly closed to experience, unconscientious, introverted, agreeable and emotionally stable",4,4,3,5,5,5,5,4,5,5,4,5,4,5,5,5
"slightly closed to experience, unconscientious, introverted, agreeable and emotionally stable",4,3,4,4,3,5,3,4,3,3,3,5,3,4,4,4
"closed to experience, highly unconscientious, introverted, agreeable and emotionally stable",4,4,4,4,5,5,5,3,4,4,4,5,5,4,5,4
"closed to experience, slightly unconscientious, introverted, agreeable and emotionally stable",3,3,3,3,3,5,5,4,4,3,3,5,3,4,3,3
"closed to experience, unconscientious, highly introverted, agreeable and emotionally stable",3,4,4,3,5,5,5,5,5,3,5,5,3,4,5,5
"closed to experience, unconscientious, slightly introverted, agreeable and emotionally stable",3,4,3,3,3,5,5,4,4,3,3,5,3,4,3,4
"closed to experience, unconscientious, introverted, highly agreeable and emotionally stable",5,5,4,5,5,5,5,5,5,5,4,5,4,4,5,5
"closed to experience, unconscientious, introverted, slightly agreeable and emotionally stable",2,4,2,2,3,3,3,3,3,2,2,3,3,2,1,2
"closed to experience, unconscientious, introverted, agreeable and highly emotionally stable",5,5,4,4,5,5,5,4,5,3,4,5,4,4,5,5
"closed to experience, unconscientious, introverted, agreeable and slightly emotionally stable",4,4,3,3,3,4,3,3,4,4,3,5,4,4,4,4
"highly closed to experience, unconscientious, introverted, antagonistic and neurotic",0,0,1,0,2,0,0,0,0,0,5,0,1,0,0,0
"slightly closed to experience, unconscientious, introverted, antagonistic and neurotic",1,1,1,0,2,1,1,1,1,1,3,1,1,1,0,1
"closed to experience, highly unconscientious, introverted, antagonistic and neurotic",0,0,0,0,2,1,0,0,0,0,5,0,1,0,0,0
"closed to experience, slightly unconscientious, introverted, antagonistic and neurotic",1,2,1,1,2,1,1,1,1,1,3,2,2,1,1,1
"closed to experience, unconscientious, highly introverted, antagonistic and neurotic",0,0,0,0,1,1,0,0,0,1,2,0,1,0,1,0
"closed to experience, unconscientious, slightly introverted, antagonistic and neurotic",0,1,1,0,2,0,1,1,0,0,5,1,1,0,1,0
"closed to experience, unconscientious, introverted, highly antagonistic and neurotic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"closed to experience, unconscientious, introverted, slightly antagonistic and neurotic",1,2,1,1,2,2,2,1,1,1,3,1,2,1,2,1
"closed to experience, unconscientious, introverted, antagonistic and highly neurotic",0,1,0,0,1,0,0,0,0,0,2,0,1,0,2,0
"closed to experience, unconscientious, introverted, antagonistic and slightly neurotic",1,1,1,0,2,2,1,1,1,1,2,2,1,0,0,1
"highly closed to experience, unconscientious, introverted, antagonistic and emotionally stable",0,1,1,1,1,0,0,1,1,0,1,0,2,1,0,1
"slightly closed to experience, unconscientious, introverted, antagonistic and emotionally stable",0,1,2,1,1,2,1,1,1,0,1,1,2,1,2,1
"closed to experience, highly unconscientious, introverted, antagonistic and emotionally stable",0,1,1,1,0,0,0,1,1,0,2,1,0,0,1,1
"closed to experience, slightly unconscientious, introverted, antagonistic and emotionally stable",1,1,1,1,1,1,0,1,1,1,2,1,2,2,1,2
"closed to experience, unconscientious, highly introverted, antagonistic and emotionally stable",0,0,1,1,1,0,0,1,0,0,2,0,1,0,1,1
"closed to experience, unconscientious, slightly introverted, antagonistic and emotionally stable",0,1,1,1,1,0,0,1,0,1,2,0,2,2,1,1
"closed to experience, unconscientious, introverted, highly antagonistic and emotionally stable",0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1
"closed to experience, unconscientious, introverted, slightly antagonistic and emotionally stable",1,2,2,2,2,2,1,1,1,1,3,1,2,2,1,2
"closed to experience, unconscientious, introverted, antagonistic and highly emotionally stable",0,1,1,1,0,0,0,1,0,1,2,0,0,1,1,1
"closed to experience, unconscientious, introverted, antagonistic and slightly emotionally stable",0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1
