persona,Whether or not someone suffered emotionally.,Whether or not some people were treated differently than others.,Whether or not someone’s action showed love for his or her country.,Whether or not someone showed a lack of respect for authority.,Whether or not someone violated standards of purity and decency.,Whether or not someone was good at math.,Whether or not someone cared for someone weak or vulnerable.,Whether or not someone acted unfairly.,Whether or not someone did something to betray his or her group.,Whether or not someone conformed to the traditions of society.,Whether or not someone did something disgusting.,Whether or not someone was cruel.,Whether or not someone was denied his or her rights.,Whether or not someone showed a lack of loyalty.,Whether or not an action caused chaos or disorder.,Whether or not someone acted in a way that God would approve of.
"slightly open to experience, unconscientious, extroverted, antagonistic and neurotic",not very relevant,slightly relevant,not very relevant,slightly relevant,not very relevant,not at all relevant,not very relevant,not very relevant,very relevant,not very relevant,very relevant,somewhat relevant,not very relevant,not very relevant,very relevant,not very relevant
"open to experience, highly unconscientious, extroverted, antagonistic and neurotic",not at all relevant,slightly relevant,not very relevant,very relevant,not very relevant,not at all relevant,not very relevant,slightly relevant,somewhat relevant,not at all relevant,very relevant,slightly relevant,not very relevant,somewhat relevant,somewhat relevant,not very relevant
"open to experience, slightly unconscientious, extroverted, antagonistic and neurotic",not very relevant,slightly relevant,not very relevant,very relevant,not very relevant,not at all relevant,not very relevant,slightly relevant,not very relevant,not very relevant,very relevant,somewhat relevant,somewhat relevant,slightly relevant,slightly relevant,not very relevant
"open to experience, unconscientious, highly extroverted, antagonistic and neurotic",not very relevant,slightly relevant,not very relevant,not very relevant,not very relevant,not at all relevant,not very relevant,somewhat relevant,very relevant,not very relevant,very relevant,somewhat relevant,not very relevant,somewhat relevant,slightly relevant,not at all relevant
"open to experience, unconscientious, slightly extroverted, antagonistic and neurotic",not very relevant,not very relevant,not very relevant,slightly relevant,not very relevant,not at all relevant,slightly relevant,somewhat relevant,not very relevant,not very relevant,very relevant,not very relevant,somewhat relevant,somewhat relevant,somewhat relevant,slightly relevant
"open to experience, unconscientious, extroverted, highly antagonistic and neurotic",not at all relevant,not very relevant,not very relevant,very relevant,not very relevant,not very relevant,not very relevant,not very relevant,very relevant,not very relevant,very relevant,not very relevant,not at all relevant,very relevant,somewhat relevant,not at all relevant
"open to experience, unconscientious, extroverted, slightly antagonistic and neurotic",not very relevant,somewhat relevant,slightly relevant,slightly relevant,not very relevant,not at all relevant,somewhat relevant,very relevant,somewhat relevant,not very relevant,very relevant,slightly relevant,somewhat relevant,very relevant,slightly relevant,not very relevant
"open to experience, unconscientious, extroverted, antagonistic and highly neurotic",slightly relevant,i consider it slightly relevant,not very relevant,very relevant,not very relevant,not at all relevant,slightly relevant,somewhat relevant,somewhat relevant,not very relevant,very relevant,somewhat relevant,not very relevant,somewhat relevant,very relevant,slightly relevant
"open to experience, unconscientious, extroverted, antagonistic and slightly neurotic",not very relevant,not very relevant,not very relevant,somewhat relevant,not very relevant,not very relevant,not very relevant,slightly relevant,slightly relevant,not very relevant,somewhat relevant,not very relevant,slightly relevant,somewhat relevant,slightly relevant,not at all relevant
"highly open to experience, unconscientious, extroverted, antagonistic and emotionally stable",not at all relevant,not very relevant,not very relevant,not at all relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,not very relevant,not very relevant,not very relevant,slightly relevant,not very relevant,not very relevant,not very relevant,not at all relevant
"slightly open to experience, unconscientious, extroverted, antagonistic and emotionally stable",not at all relevant,not at all relevant,not very relevant,not at all relevant,not very relevant,"consideration: 'whether or not someone was good at math.'  
not at all relevant",not very relevant,slightly relevant,not very relevant,not very relevant,not very relevant,not at all relevant,not at all relevant,not very relevant,not at all relevant,not at all relevant
"open to experience, highly unconscientious, extroverted, antagonistic and emotionally stable",not at all relevant,not very relevant,not very relevant,not very relevant,not at all relevant,i find it not at all relevant,not very relevant,not very relevant,not very relevant,not at all relevant,not very relevant,slightly relevant,not at all relevant,not very relevant,not at all relevant,not at all relevant
"open to experience, slightly unconscientious, extroverted, antagonistic and emotionally stable",not at all relevant,slightly relevant,not very relevant,not very relevant,not very relevant,not at all relevant,not very relevant,not very relevant,very relevant,not at all relevant,slightly relevant,somewhat relevant,not very relevant,slightly relevant,not very relevant,not very relevant
"open to experience, unconscientious, highly extroverted, antagonistic and emotionally stable",not very relevant,slightly relevant,not very relevant,not very relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,slightly relevant,not very relevant,not very relevant,not very relevant,not very relevant,slightly relevant,not very relevant,not at all relevant
"open to experience, unconscientious, slightly extroverted, antagonistic and emotionally stable",not at all relevant,not very relevant,not very relevant,not very relevant,not very relevant,not at all relevant,not very relevant,slightly relevant,not very relevant,not very relevant,slightly relevant,not at all relevant,not very relevant,slightly relevant,not very relevant,not at all relevant
"open to experience, unconscientious, extroverted, highly antagonistic and emotionally stable",not at all relevant,not very relevant,not at all relevant,not at all relevant,not at all relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,not at all relevant,very relevant,not at all relevant,not at all relevant,not very relevant,not at all relevant,not at all relevant
"open to experience, unconscientious, extroverted, slightly antagonistic and emotionally stable",not very relevant,slightly relevant,not very relevant,not very relevant,not very relevant,not at all relevant,slightly relevant,slightly relevant,slightly relevant,not very relevant,slightly relevant,slightly relevant,slightly relevant,not very relevant,not very relevant,not at all relevant
"open to experience, unconscientious, extroverted, antagonistic and highly emotionally stable",not at all relevant,not very relevant,not very relevant,not very relevant,not at all relevant,not at all relevant,not very relevant,somewhat relevant,not very relevant,not very relevant,somewhat relevant,not very relevant,not at all relevant,not very relevant,not very relevant,not at all relevant
"open to experience, unconscientious, extroverted, antagonistic and slightly emotionally stable",not at all relevant,not very relevant,not very relevant,not very relevant,not at all relevant,not at all relevant,not very relevant,slightly relevant,not very relevant,not at all relevant,very relevant,somewhat relevant,not very relevant,not very relevant,slightly relevant,not at all relevant
"highly open to experience, unconscientious, introverted, agreeable and neurotic",extremely relevant,very relevant,somewhat relevant,somewhat relevant,somewhat relevant,not at all relevant,very relevant,very relevant,very relevant,not very relevant,somewhat relevant,extremely relevant,very relevant,very relevant,very relevant,not very relevant
"slightly open to experience, unconscientious, introverted, agreeable and neurotic",very relevant,very relevant,slightly relevant,slightly relevant,somewhat relevant,not at all relevant,very relevant,very relevant,very relevant,somewhat relevant,somewhat relevant,extremely relevant,very relevant,very relevant,somewhat relevant,slightly relevant
"open to experience, highly unconscientious, introverted, agreeable and neurotic",extremely relevant,very relevant,slightly relevant,slightly relevant,not very relevant,not at all relevant,very relevant,very relevant,not very relevant,slightly relevant,somewhat relevant,extremely relevant,very relevant,very relevant,somewhat relevant,not very relevant
"open to experience, slightly unconscientious, introverted, agreeable and neurotic",very relevant,very relevant,somewhat relevant,slightly relevant,somewhat relevant,not at all relevant,very relevant,very relevant,somewhat relevant,slightly relevant,somewhat relevant,very relevant,extremely relevant,very relevant,very relevant,not very relevant
"open to experience, unconscientious, highly introverted, agreeable and neurotic",extremely relevant,very relevant,slightly relevant,somewhat relevant,slightly relevant,not at all relevant,extremely relevant,very relevant,somewhat relevant,slightly relevant,somewhat relevant,very relevant,very relevant,very relevant,somewhat relevant,not very relevant
"open to experience, unconscientious, slightly introverted, agreeable and neurotic",extremely relevant,very relevant,slightly relevant,somewhat relevant,i consider it somewhat relevant,not very relevant,very relevant,very relevant,very relevant,slightly relevant,very relevant,extremely relevant,very relevant,very relevant,somewhat relevant,slightly relevant
"open to experience, unconscientious, introverted, highly agreeable and neurotic",extremely relevant,very relevant,slightly relevant,slightly relevant,somewhat relevant,not at all relevant,extremely relevant,very relevant,very relevant,somewhat relevant,very relevant,extremely relevant,very relevant,very relevant,very relevant,slightly relevant
"open to experience, unconscientious, introverted, slightly agreeable and neurotic",very relevant,somewhat relevant,not very relevant,slightly relevant,somewhat relevant,not at all relevant,somewhat relevant,somewhat relevant,somewhat relevant,slightly relevant,somewhat relevant,somewhat relevant,very relevant,somewhat relevant,somewhat relevant,slightly relevant
"open to experience, unconscientious, introverted, agreeable and highly neurotic",extremely relevant,very relevant,slightly relevant,somewhat relevant,somewhat relevant,not at all relevant,very relevant,extremely relevant,very relevant,slightly relevant,somewhat relevant,extremely relevant,very relevant,very relevant,very relevant,slightly relevant
"open to experience, unconscientious, introverted, agreeable and slightly neurotic",very relevant,very relevant,slightly relevant,somewhat relevant,slightly relevant,not at all relevant,very relevant,very relevant,very relevant,slightly relevant,somewhat relevant,very relevant,very relevant,very relevant,somewhat relevant,not very relevant
"highly open to experience, unconscientious, introverted, agreeable and emotionally stable",very relevant,very relevant,not very relevant,not very relevant,not very relevant,not at all relevant,extremely relevant,very relevant,somewhat relevant,not very relevant,not very relevant,very relevant,very relevant,very relevant,not very relevant,not very relevant
"slightly open to experience, unconscientious, introverted, agreeable and emotionally stable",very relevant,very relevant,slightly relevant,slightly relevant,slightly relevant,not at all relevant,extremely relevant,very relevant,somewhat relevant,slightly relevant,slightly relevant,very relevant,very relevant,somewhat relevant,not very relevant,not very relevant
"open to experience, highly unconscientious, introverted, agreeable and emotionally stable",very relevant,somewhat relevant,not very relevant,not very relevant,not very relevant,not at all relevant,very relevant,very relevant,not very relevant,not very relevant,slightly relevant,very relevant,somewhat relevant,somewhat relevant,not very relevant,not very relevant
"open to experience, slightly unconscientious, introverted, agreeable and emotionally stable",very relevant,very relevant,slightly relevant,somewhat relevant,not very relevant,not at all relevant,extremely relevant,very relevant,somewhat relevant,not very relevant,slightly relevant,very relevant,very relevant,very relevant,somewhat relevant,not very relevant
"open to experience, unconscientious, highly introverted, agreeable and emotionally stable",very relevant,very relevant,slightly relevant,not very relevant,not very relevant,not at all relevant,extremely relevant,very relevant,not very relevant,not very relevant,slightly relevant,very relevant,very relevant,somewhat relevant,slightly relevant,not very relevant
"open to experience, unconscientious, slightly introverted, agreeable and emotionally stable",very relevant,very relevant,not very relevant,not very relevant,not very relevant,not at all relevant,very relevant,very relevant,somewhat relevant,not very relevant,somewhat relevant,very relevant,very relevant,somewhat relevant,not very relevant,not very relevant
"open to experience, unconscientious, introverted, highly agreeable and emotionally stable",very relevant,very relevant,not very relevant,not very relevant,slightly relevant,not at all relevant,extremely relevant,very relevant,somewhat relevant,not very relevant,not very relevant,extremely relevant,very relevant,very relevant,somewhat relevant,not very relevant
"open to experience, unconscientious, introverted, slightly agreeable and emotionally stable",somewhat relevant,somewhat relevant,not very relevant,not very relevant,not very relevant,not at all relevant,somewhat relevant,somewhat relevant,slightly relevant,not very relevant,slightly relevant,somewhat relevant,somewhat relevant,slightly relevant,not very relevant,not very relevant
"open to experience, unconscientious, introverted, agreeable and highly emotionally stable",very relevant,very relevant,not very relevant,not very relevant,not very relevant,not at all relevant,extremely relevant,very relevant,somewhat relevant,not very relevant,slightly relevant,very relevant,very relevant,slightly relevant,slightly relevant,not very relevant
"open to experience, unconscientious, introverted, agreeable and slightly emotionally stable",very relevant,very relevant,not very relevant,not very relevant,slightly relevant,not at all relevant,very relevant,very relevant,somewhat relevant,not very relevant,somewhat relevant,very relevant,very relevant,somewhat relevant,slightly relevant,not very relevant
"highly open to experience, unconscientious, introverted, antagonistic and neurotic",not at all relevant,not very relevant,not very relevant,somewhat relevant,not very relevant,not at all relevant,not at all relevant,slightly relevant,somewhat relevant,not very relevant,very relevant,not very relevant,not very relevant,very relevant,very relevant,not very relevant
"slightly open to experience, unconscientious, introverted, antagonistic and neurotic",not very relevant,not very relevant,not very relevant,slightly relevant,not very relevant,not at all relevant,not very relevant,slightly relevant,very relevant,not very relevant,somewhat relevant,slightly relevant,not very relevant,very relevant,somewhat relevant,not very relevant
"open to experience, highly unconscientious, introverted, antagonistic and neurotic",not at all relevant,slightly relevant,not very relevant,somewhat relevant,not very relevant,not at all relevant,not very relevant,not very relevant,not very relevant,not very relevant,slightly relevant,slightly relevant,not at all relevant,slightly relevant,not very relevant,not very relevant
"open to experience, slightly unconscientious, introverted, antagonistic and neurotic",slightly relevant,somewhat relevant,not very relevant,not very relevant,slightly relevant,not at all relevant,slightly relevant,somewhat relevant,slightly relevant,not very relevant,very relevant,somewhat relevant,slightly relevant,somewhat relevant,somewhat relevant,not very relevant
"open to experience, unconscientious, highly introverted, antagonistic and neurotic",slightly relevant,not very relevant,not very relevant,slightly relevant,slightly relevant,not at all relevant,not very relevant,somewhat relevant,somewhat relevant,not very relevant,very relevant,somewhat relevant,not very relevant,somewhat relevant,somewhat relevant,not very relevant
"open to experience, unconscientious, slightly introverted, antagonistic and neurotic",somewhat relevant,somewhat relevant,not very relevant,very relevant,not very relevant,not at all relevant,somewhat relevant,somewhat relevant,somewhat relevant,not very relevant,very relevant,somewhat relevant,not very relevant,somewhat relevant,not very relevant,not very relevant
"open to experience, unconscientious, introverted, highly antagonistic and neurotic",not at all relevant,not very relevant,not very relevant,very relevant,not at all relevant,not at all relevant,not at all relevant,very relevant,somewhat relevant,not at all relevant,very relevant,somewhat relevant,not very relevant,somewhat relevant,slightly relevant,not at all relevant
"open to experience, unconscientious, introverted, slightly antagonistic and neurotic",slightly relevant,slightly relevant,not very relevant,slightly relevant,not very relevant,not at all relevant,slightly relevant,somewhat relevant,slightly relevant,not very relevant,slightly relevant,somewhat relevant,slightly relevant,somewhat relevant,somewhat relevant,not at all relevant
"open to experience, unconscientious, introverted, antagonistic and highly neurotic",not very relevant,somewhat relevant,not very relevant,somewhat relevant,slightly relevant,not at all relevant,not very relevant,not very relevant,somewhat relevant,slightly relevant,very relevant,somewhat relevant,not very relevant,somewhat relevant,slightly relevant,not very relevant
"open to experience, unconscientious, introverted, antagonistic and slightly neurotic",not very relevant,somewhat relevant,not at all relevant,very relevant,not very relevant,not at all relevant,somewhat relevant,somewhat relevant,somewhat relevant,not very relevant,somewhat relevant,not very relevant,not very relevant,somewhat relevant,somewhat relevant,not very relevant
"highly open to experience, unconscientious, introverted, antagonistic and emotionally stable",not very relevant,not very relevant,not at all relevant,slightly relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,not very relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,not very relevant,not very relevant,not at all relevant
"slightly open to experience, unconscientious, introverted, antagonistic and emotionally stable",not very relevant,not very relevant,not very relevant,not very relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,slightly relevant,not very relevant,somewhat relevant,not very relevant,not very relevant,not very relevant,not very relevant,not at all relevant
"open to experience, highly unconscientious, introverted, antagonistic and emotionally stable",not at all relevant,not very relevant,not at all relevant,not very relevant,not at all relevant,not at all relevant,not at all relevant,not very relevant,not at all relevant,not at all relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,not at all relevant,not at all relevant
"open to experience, slightly unconscientious, introverted, antagonistic and emotionally stable",not very relevant,not very relevant,not very relevant,slightly relevant,not very relevant,slightly relevant,slightly relevant,somewhat relevant,not very relevant,not very relevant,slightly relevant,not very relevant,not at all relevant,not very relevant,not very relevant,not at all relevant
"open to experience, unconscientious, highly introverted, antagonistic and emotionally stable",not very relevant,not very relevant,not at all relevant,not very relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,not at all relevant,not at all relevant,not very relevant,not at all relevant,not very relevant,not very relevant,not very relevant,not at all relevant
"open to experience, unconscientious, slightly introverted, antagonistic and emotionally stable",not very relevant,not very relevant,not very relevant,not very relevant,not very relevant,not at all relevant,not very relevant,not very relevant,not very relevant,not very relevant,not very relevant,not very relevant,not very relevant,not very relevant,not very relevant,not at all relevant
"open to experience, unconscientious, introverted, highly antagonistic and emotionally stable",not at all relevant,not at all relevant,not at all relevant,very relevant,not at all relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,not at all relevant,slightly relevant,not at all relevant,not very relevant,not at all relevant,not at all relevant,not at all relevant
"open to experience, unconscientious, introverted, slightly antagonistic and emotionally stable",not very relevant,slightly relevant,not very relevant,not very relevant,not very relevant,not at all relevant,slightly relevant,somewhat relevant,not very relevant,not very relevant,slightly relevant,slightly relevant,not very relevant,slightly relevant,not very relevant,not at all relevant
"open to experience, unconscientious, introverted, antagonistic and highly emotionally stable",not very relevant,not very relevant,not at all relevant,not very relevant,not at all relevant,not at all relevant,not very relevant,not very relevant,not very relevant,not at all relevant,not very relevant,not very relevant,not at all relevant,not at all relevant,not at all relevant,not at all relevant
"open to experience, unconscientious, introverted, antagonistic and slightly emotionally stable",not very relevant,not very relevant,not very relevant,slightly relevant,not very relevant,not at all relevant,not very relevant,slightly relevant,slightly relevant,not very relevant,somewhat relevant,slightly relevant,not very relevant,not very relevant,not very relevant,not at all relevant
"highly closed to experience, conscientious, extroverted, agreeable and neurotic",very relevant,very relevant,very relevant,extremely relevant,extremely relevant,not at all relevant,very relevant,very relevant,extremely relevant,extremely relevant,very relevant,extremely relevant,very relevant,extremely relevant,extremely relevant,somewhat relevant
"slightly closed to experience, conscientious, extroverted, agreeable and neurotic",very relevant,very relevant,very relevant,very relevant,very relevant,"consideration: 'whether or not someone was good at math.'.
not at all relevant",extremely relevant,extremely relevant,very relevant,very relevant,very relevant,very relevant,very relevant,extremely relevant,extremely relevant,extremely relevant
"closed to experience, highly conscientious, extroverted, agreeable and neurotic",very relevant,very relevant,very relevant,extremely relevant,extremely relevant,not very relevant,extremely relevant,very relevant,extremely relevant,very relevant,very relevant,very relevant,extremely relevant,extremely relevant,extremely relevant,somewhat relevant
"closed to experience, slightly conscientious, extroverted, agreeable and neurotic",very relevant,very relevant,somewhat relevant,very relevant,extremely relevant,not at all relevant,very relevant,very relevant,extremely relevant,very relevant,somewhat relevant,very relevant,very relevant,very relevant,very relevant,slightly relevant
"closed to experience, conscientious, highly extroverted, agreeable and neurotic",extremely relevant,extremely relevant,very relevant,extremely relevant,extremely relevant,not at all relevant,very relevant,extremely relevant,extremely relevant,extremely relevant,very relevant,very relevant,extremely relevant,extremely relevant,very relevant,slightly relevant
"closed to experience, conscientious, slightly extroverted, agreeable and neurotic",very relevant,very relevant,very relevant,very relevant,very relevant,not very relevant,very relevant,very relevant,extremely relevant,extremely relevant,very relevant,very relevant,extremely relevant,extremely relevant,extremely relevant,somewhat relevant
"closed to experience, conscientious, extroverted, highly agreeable and neurotic",extremely relevant,very relevant,extremely relevant,very relevant,extremely relevant,not at all relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,very relevant,very relevant,extremely relevant,extremely relevant,extremely relevant,slightly relevant
"closed to experience, conscientious, extroverted, slightly agreeable and neurotic",somewhat relevant,very relevant,very relevant,very relevant,very relevant,not at all relevant,somewhat relevant,very relevant,very relevant,very relevant,very relevant,somewhat relevant,very relevant,very relevant,extremely relevant,somewhat relevant
"closed to experience, conscientious, extroverted, agreeable and highly neurotic",extremely relevant,extremely relevant,very relevant,extremely relevant,extremely relevant,not at all relevant,very relevant,extremely relevant,extremely relevant,extremely relevant,very relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,slightly relevant
"closed to experience, conscientious, extroverted, agreeable and slightly neurotic",very relevant,very relevant,very relevant,very relevant,very relevant,not at all relevant,very relevant,extremely relevant,extremely relevant,extremely relevant,very relevant,very relevant,extremely relevant,extremely relevant,very relevant,somewhat relevant
"highly closed to experience, conscientious, extroverted, agreeable and emotionally stable",very relevant,very relevant,very relevant,very relevant,very relevant,not at all relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,somewhat relevant,very relevant,very relevant,very relevant,very relevant,slightly relevant
"slightly closed to experience, conscientious, extroverted, agreeable and emotionally stable",very relevant,very relevant,very relevant,very relevant,very relevant,not very relevant,very relevant,extremely relevant,extremely relevant,very relevant,very relevant,very relevant,very relevant,very relevant,very relevant,slightly relevant
"closed to experience, highly conscientious, extroverted, agreeable and emotionally stable",very relevant,very relevant,very relevant,very relevant,extremely relevant,not at all relevant,extremely relevant,very relevant,extremely relevant,extremely relevant,somewhat relevant,very relevant,extremely relevant,extremely relevant,very relevant,slightly relevant
"closed to experience, slightly conscientious, extroverted, agreeable and emotionally stable",very relevant,somewhat relevant,somewhat relevant,very relevant,somewhat relevant,not at all relevant,very relevant,very relevant,very relevant,very relevant,somewhat relevant,very relevant,very relevant,very relevant,very relevant,not very relevant
"closed to experience, conscientious, highly extroverted, agreeable and emotionally stable",somewhat relevant,very relevant,somewhat relevant,very relevant,very relevant,not at all relevant,very relevant,extremely relevant,extremely relevant,very relevant,very relevant,extremely relevant,extremely relevant,extremely relevant,extremely relevant,not very relevant
"closed to experience, conscientious, slightly extroverted, agreeable and emotionally stable",somewhat relevant,very relevant,very relevant,very relevant,very relevant,"consideration: 'whether or not someone was good at math.'
not at all relevant",very relevant,extremely relevant,extremely relevant,very relevant,slightly relevant,very relevant,very relevant,very relevant,very relevant,somewhat relevant
"closed to experience, conscientious, extroverted, highly agreeable and emotionally stable",very relevant,very relevant,somewhat relevant,extremely relevant,somewhat relevant,not at all relevant,very relevant,extremely relevant,extremely relevant,very relevant,slightly relevant,extremely relevant,extremely relevant,extremely relevant,very relevant,not very relevant
"closed to experience, conscientious, extroverted, slightly agreeable and emotionally stable",somewhat relevant,very relevant,very relevant,very relevant,very relevant,not at all relevant,somewhat relevant,very relevant,very relevant,very relevant,slightly relevant,somewhat relevant,very relevant,very relevant,very relevant,somewhat relevant
"closed to experience, conscientious, extroverted, agreeable and highly emotionally stable",very relevant,extremely relevant,very relevant,very relevant,very relevant,not at all relevant,extremely relevant,extremely relevant,very relevant,extremely relevant,somewhat relevant,extremely relevant,very relevant,very relevant,very relevant,not very relevant
"closed to experience, conscientious, extroverted, agreeable and slightly emotionally stable",very relevant,very relevant,very relevant,very relevant,very relevant,"consideration: 'whether or not someone was good at math.'  
not at all relevant",very relevant,extremely relevant,extremely relevant,very relevant,somewhat relevant,very relevant,very relevant,very relevant,very relevant,slightly relevant
"highly closed to experience, conscientious, extroverted, antagonistic and neurotic",not very relevant,slightly relevant,somewhat relevant,extremely relevant,very relevant,not at all relevant,not very relevant,somewhat relevant,extremely relevant,very relevant,very relevant,very relevant,somewhat relevant,extremely relevant,extremely relevant,not very relevant
"slightly closed to experience, conscientious, extroverted, antagonistic and neurotic",slightly relevant,somewhat relevant,somewhat relevant,very relevant,very relevant,somewhat relevant,somewhat relevant,somewhat relevant,extremely relevant,very relevant,very relevant,very relevant,very relevant,extremely relevant,extremely relevant,not very relevant
"closed to experience, highly conscientious, extroverted, antagonistic and neurotic",slightly relevant,not very relevant,somewhat relevant,extremely relevant,extremely relevant,not very relevant,not very relevant,somewhat relevant,extremely relevant,very relevant,very relevant,very relevant,somewhat relevant,extremely relevant,very relevant,not very relevant
"closed to experience, slightly conscientious, extroverted, antagonistic and neurotic",slightly relevant,somewhat relevant,not very relevant,somewhat relevant,slightly relevant,"consideration: 'whether or not someone was good at math.'.  
not at all relevant",not very relevant,very relevant,extremely relevant,somewhat relevant,somewhat relevant,somewhat relevant,not very relevant,somewhat relevant,somewhat relevant,not very relevant
"closed to experience, conscientious, highly extroverted, antagonistic and neurotic",not at all relevant,somewhat relevant,very relevant,extremely relevant,extremely relevant,slightly relevant,slightly relevant,somewhat relevant,extremely relevant,somewhat relevant,somewhat relevant,very relevant,very relevant,extremely relevant,extremely relevant,slightly relevant
"closed to experience, conscientious, slightly extroverted, antagonistic and neurotic",slightly relevant,somewhat relevant,somewhat relevant,very relevant,extremely relevant,somewhat relevant,somewhat relevant,very relevant,extremely relevant,very relevant,somewhat relevant,very relevant,somewhat relevant,very relevant,very relevant,slightly relevant
"closed to experience, conscientious, extroverted, highly antagonistic and neurotic",not at all relevant,somewhat relevant,somewhat relevant,very relevant,extremely relevant,not at all relevant,not very relevant,somewhat relevant,extremely relevant,very relevant,very relevant,extremely relevant,not very relevant,extremely relevant,extremely relevant,slightly relevant
"closed to experience, conscientious, extroverted, slightly antagonistic and neurotic",somewhat relevant,somewhat relevant,somewhat relevant,very relevant,very relevant,not at all relevant,somewhat relevant,very relevant,extremely relevant,very relevant,somewhat relevant,very relevant,very relevant,very relevant,very relevant,somewhat relevant
"closed to experience, conscientious, extroverted, antagonistic and highly neurotic",not very relevant,very relevant,somewhat relevant,extremely relevant,extremely relevant,not at all relevant,somewhat relevant,very relevant,extremely relevant,very relevant,very relevant,somewhat relevant,somewhat relevant,extremely relevant,extremely relevant,slightly relevant
"closed to experience, conscientious, extroverted, antagonistic and slightly neurotic",slightly relevant,somewhat relevant,somewhat relevant,very relevant,very relevant,not very relevant,slightly relevant,somewhat relevant,extremely relevant,very relevant,very relevant,somewhat relevant,somewhat relevant,very relevant,very relevant,not very relevant
"highly closed to experience, conscientious, extroverted, antagonistic and emotionally stable",not very relevant,not very relevant,not very relevant,very relevant,very relevant,not at all relevant,not very relevant,somewhat relevant,extremely relevant,very relevant,very relevant,somewhat relevant,not very relevant,very relevant,very relevant,not very relevant
"slightly closed to experience, conscientious, extroverted, antagonistic and emotionally stable",not very relevant,very relevant,slightly relevant,very relevant,very relevant,not at all relevant,not very relevant,very relevant,extremely relevant,very relevant,very relevant,very relevant,very relevant,very relevant,extremely relevant,not very relevant
"closed to experience, highly conscientious, extroverted, antagonistic and emotionally stable",not very relevant,somewhat relevant,very relevant,very relevant,somewhat relevant,not at all relevant,not very relevant,somewhat relevant,extremely relevant,extremely relevant,very relevant,not very relevant,somewhat relevant,somewhat relevant,very relevant,not very relevant
"closed to experience, slightly conscientious, extroverted, antagonistic and emotionally stable",not very relevant,not very relevant,not very relevant,not very relevant,not very relevant,not at all relevant,not very relevant,slightly relevant,somewhat relevant,somewhat relevant,somewhat relevant,somewhat relevant,not very relevant,slightly relevant,somewhat relevant,not very relevant
"closed to experience, conscientious, highly extroverted, antagonistic and emotionally stable",not at all relevant,slightly relevant,somewhat relevant,very relevant,very relevant,not at all relevant,not very relevant,somewhat relevant,very relevant,extremely relevant,somewhat relevant,very relevant,not very relevant,very relevant,very relevant,not very relevant
"closed to experience, conscientious, slightly extroverted, antagonistic and emotionally stable",not very relevant,very relevant,slightly relevant,very relevant,very relevant,not at all relevant,slightly relevant,very relevant,extremely relevant,extremely relevant,somewhat relevant,somewhat relevant,somewhat relevant,very relevant,very relevant,not at all relevant
"closed to experience, conscientious, extroverted, highly antagonistic and emotionally stable",not at all relevant,somewhat relevant,not very relevant,very relevant,very relevant,not at all relevant,not at all relevant,very relevant,extremely relevant,very relevant,slightly relevant,somewhat relevant,slightly relevant,slightly relevant,very relevant,not at all relevant
"closed to experience, conscientious, extroverted, slightly antagonistic and emotionally stable",not very relevant,very relevant,somewhat relevant,somewhat relevant,very relevant,not at all relevant,somewhat relevant,very relevant,very relevant,very relevant,somewhat relevant,very relevant,very relevant,very relevant,very relevant,somewhat relevant
"closed to experience, conscientious, extroverted, antagonistic and highly emotionally stable",not very relevant,not very relevant,somewhat relevant,very relevant,very relevant,not at all relevant,not very relevant,somewhat relevant,very relevant,very relevant,not very relevant,somewhat relevant,somewhat relevant,extremely relevant,very relevant,not at all relevant
"closed to experience, conscientious, extroverted, antagonistic and slightly emotionally stable",not very relevant,somewhat relevant,not very relevant,very relevant,very relevant,not at all relevant,not very relevant,somewhat relevant,extremely relevant,somewhat relevant,somewhat relevant,slightly relevant,somewhat relevant,somewhat relevant,very relevant,not very relevant
"highly closed to experience, conscientious, introverted, agreeable and neurotic",very relevant,very relevant,very relevant,extremely relevant,extremely relevant,not at all relevant,extremely relevant,very relevant,extremely relevant,extremely relevant,somewhat relevant,extremely relevant,very relevant,extremely relevant,extremely relevant,very relevant
"slightly closed to experience, conscientious, introverted, agreeable and neurotic",very relevant,very relevant,somewhat relevant,very relevant,very relevant,not at all relevant,very relevant,very relevant,very relevant,extremely relevant,very relevant,extremely relevant,extremely relevant,very relevant,very relevant,very relevant
"closed to experience, highly conscientious, introverted, agreeable and neurotic",extremely relevant,very relevant,somewhat relevant,extremely relevant,extremely relevant,not at all relevant,very relevant,very relevant,extremely relevant,extremely relevant,very relevant,extremely relevant,very relevant,very relevant,very relevant,very relevant
