persona,persona_dimension_list,Harm_Care_score,Fairness_Reciprocity_score,In-group_Loyalty_score,Authority_Respect_score,Purity_Sanctity_score
"closed to experience, conscientious, slightly extroverted, agreeable and emotionally stable","['closed to experience', 'conscientious', 'slightly extroverted', 'agreeable', 'emotionally stable']",14,15,13,14,11
"closed to experience, conscientious, extroverted, highly agreeable and emotionally stable","['closed to experience', 'conscientious', 'extroverted', 'highly agreeable', 'emotionally stable']",15,15,14,15,11
"closed to experience, conscientious, extroverted, slightly agreeable and emotionally stable","['closed to experience', 'conscientious', 'extroverted', 'slightly agreeable', 'emotionally stable']",9,11,12,13,9
"closed to experience, conscientious, extroverted, agreeable and highly emotionally stable","['closed to experience', 'conscientious', 'extroverted', 'agreeable', 'highly emotionally stable']",15,15,13,14,11
"closed to experience, conscientious, extroverted, agreeable and slightly emotionally stable","['closed to experience', 'conscientious', 'extroverted', 'agreeable', 'slightly emotionally stable']",14,15,13,14,11
"highly closed to experience, conscientious, extroverted, antagonistic and neurotic","['highly closed to experience', 'conscientious', 'extroverted', 'antagonistic', 'neurotic']",5,7,13,15,10
"slightly closed to experience, conscientious, extroverted, antagonistic and neurotic","['slightly closed to experience', 'conscientious', 'extroverted', 'antagonistic', 'neurotic']",7,8,13,11,10
"closed to experience, highly conscientious, extroverted, antagonistic and neurotic","['closed to experience', 'highly conscientious', 'extroverted', 'antagonistic', 'neurotic']",5,8,13,15,10
"closed to experience, slightly conscientious, extroverted, antagonistic and neurotic","['closed to experience', 'slightly conscientious', 'extroverted', 'antagonistic', 'neurotic']",7,8,12,9,8
"closed to experience, conscientious, highly extroverted, antagonistic and neurotic","['closed to experience', 'conscientious', 'highly extroverted', 'antagonistic', 'neurotic']",5,7,13,10,10
"closed to experience, conscientious, slightly extroverted, antagonistic and neurotic","['closed to experience', 'conscientious', 'slightly extroverted', 'antagonistic', 'neurotic']",7,10,12,15,10
"closed to experience, conscientious, extroverted, highly antagonistic and neurotic","['closed to experience', 'conscientious', 'extroverted', 'highly antagonistic', 'neurotic']",5,5,12,15,10
"closed to experience, conscientious, extroverted, slightly antagonistic and neurotic","['closed to experience', 'conscientious', 'extroverted', 'slightly antagonistic', 'neurotic']",8,10,13,14,6
"closed to experience, conscientious, extroverted, antagonistic and highly neurotic","['closed to experience', 'conscientious', 'extroverted', 'antagonistic', 'highly neurotic']",5,7,12,15,10
"closed to experience, conscientious, extroverted, antagonistic and slightly neurotic","['closed to experience', 'conscientious', 'extroverted', 'antagonistic', 'slightly neurotic']",7,8,14,15,10
"highly closed to experience, conscientious, extroverted, antagonistic and emotionally stable","['highly closed to experience', 'conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",6,8,14,14,10
"slightly closed to experience, conscientious, extroverted, antagonistic and emotionally stable","['slightly closed to experience', 'conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",7,8,13,11,8
"closed to experience, highly conscientious, extroverted, antagonistic and emotionally stable","['closed to experience', 'highly conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",6,8,13,14,10
"closed to experience, slightly conscientious, extroverted, antagonistic and emotionally stable","['closed to experience', 'slightly conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",6,6,11,9,7
"closed to experience, conscientious, highly extroverted, antagonistic and emotionally stable","['closed to experience', 'conscientious', 'highly extroverted', 'antagonistic', 'emotionally stable']",5,8,13,12,10
"closed to experience, conscientious, slightly extroverted, antagonistic and emotionally stable","['closed to experience', 'conscientious', 'slightly extroverted', 'antagonistic', 'emotionally stable']",7,9,13,14,10
"closed to experience, conscientious, extroverted, highly antagonistic and emotionally stable","['closed to experience', 'conscientious', 'extroverted', 'highly antagonistic', 'emotionally stable']",5,8,13,12,10
"closed to experience, conscientious, extroverted, slightly antagonistic and emotionally stable","['closed to experience', 'conscientious', 'extroverted', 'slightly antagonistic', 'emotionally stable']",8,9,13,14,9
"closed to experience, conscientious, extroverted, antagonistic and highly emotionally stable","['closed to experience', 'conscientious', 'extroverted', 'antagonistic', 'highly emotionally stable']",6,8,13,14,10
"closed to experience, conscientious, extroverted, antagonistic and slightly emotionally stable","['closed to experience', 'conscientious', 'extroverted', 'antagonistic', 'slightly emotionally stable']",7,7,13,14,10
"highly closed to experience, conscientious, introverted, agreeable and neurotic","['highly closed to experience', 'conscientious', 'introverted', 'agreeable', 'neurotic']",15,15,13,15,15
"slightly closed to experience, conscientious, introverted, agreeable and neurotic","['slightly closed to experience', 'conscientious', 'introverted', 'agreeable', 'neurotic']",15,15,12,12,13
"closed to experience, highly conscientious, introverted, agreeable and neurotic","['closed to experience', 'highly conscientious', 'introverted', 'agreeable', 'neurotic']",15,15,13,15,15
"closed to experience, slightly conscientious, introverted, agreeable and neurotic","['closed to experience', 'slightly conscientious', 'introverted', 'agreeable', 'neurotic']",14,14,12,12,13
"closed to experience, conscientious, highly introverted, agreeable and neurotic","['closed to experience', 'conscientious', 'highly introverted', 'agreeable', 'neurotic']",15,15,12,15,15
"closed to experience, conscientious, slightly introverted, agreeable and neurotic","['closed to experience', 'conscientious', 'slightly introverted', 'agreeable', 'neurotic']",15,15,13,15,13
"closed to experience, conscientious, introverted, highly agreeable and neurotic","['closed to experience', 'conscientious', 'introverted', 'highly agreeable', 'neurotic']",15,15,13,15,15
"closed to experience, conscientious, introverted, slightly agreeable and neurotic","['closed to experience', 'conscientious', 'introverted', 'slightly agreeable', 'neurotic']",11,13,12,14,12
"closed to experience, conscientious, introverted, agreeable and highly neurotic","['closed to experience', 'conscientious', 'introverted', 'agreeable', 'highly neurotic']",15,15,12,15,15
"closed to experience, conscientious, introverted, agreeable and slightly neurotic","['closed to experience', 'conscientious', 'introverted', 'agreeable', 'slightly neurotic']",15,15,13,15,13
"highly closed to experience, conscientious, introverted, agreeable and emotionally stable","['highly closed to experience', 'conscientious', 'introverted', 'agreeable', 'emotionally stable']",14,15,13,15,13
"slightly closed to experience, conscientious, introverted, agreeable and emotionally stable","['slightly closed to experience', 'conscientious', 'introverted', 'agreeable', 'emotionally stable']",14,15,12,11,10
"closed to experience, highly conscientious, introverted, agreeable and emotionally stable","['closed to experience', 'highly conscientious', 'introverted', 'agreeable', 'emotionally stable']",14,15,13,15,13
"closed to experience, slightly conscientious, introverted, agreeable and emotionally stable","['closed to experience', 'slightly conscientious', 'introverted', 'agreeable', 'emotionally stable']",13,10,9,10,8
"closed to experience, conscientious, highly introverted, agreeable and emotionally stable","['closed to experience', 'conscientious', 'highly introverted', 'agreeable', 'emotionally stable']",15,15,12,15,11
"closed to experience, conscientious, slightly introverted, agreeable and emotionally stable","['closed to experience', 'conscientious', 'slightly introverted', 'agreeable', 'emotionally stable']",14,15,13,14,11
"closed to experience, conscientious, introverted, highly agreeable and emotionally stable","['closed to experience', 'conscientious', 'introverted', 'highly agreeable', 'emotionally stable']",15,15,13,15,13
"closed to experience, conscientious, introverted, slightly agreeable and emotionally stable","['closed to experience', 'conscientious', 'introverted', 'slightly agreeable', 'emotionally stable']",9,10,10,12,9
"closed to experience, conscientious, introverted, agreeable and highly emotionally stable","['closed to experience', 'conscientious', 'introverted', 'agreeable', 'highly emotionally stable']",15,15,13,14,11
"closed to experience, conscientious, introverted, agreeable and slightly emotionally stable","['closed to experience', 'conscientious', 'introverted', 'agreeable', 'slightly emotionally stable']",13,15,12,14,12
"highly closed to experience, conscientious, introverted, antagonistic and neurotic","['highly closed to experience', 'conscientious', 'introverted', 'antagonistic', 'neurotic']",5,7,11,15,10
"slightly closed to experience, conscientious, introverted, antagonistic and neurotic","['slightly closed to experience', 'conscientious', 'introverted', 'antagonistic', 'neurotic']",7,10,12,13,11
"closed to experience, highly conscientious, introverted, antagonistic and neurotic","['closed to experience', 'highly conscientious', 'introverted', 'antagonistic', 'neurotic']",5,8,11,15,10
"closed to experience, slightly conscientious, introverted, antagonistic and neurotic","['closed to experience', 'slightly conscientious', 'introverted', 'antagonistic', 'neurotic']",6,8,11,13,11
"closed to experience, conscientious, highly introverted, antagonistic and neurotic","['closed to experience', 'conscientious', 'highly introverted', 'antagonistic', 'neurotic']",5,7,11,15,10
"closed to experience, conscientious, slightly introverted, antagonistic and neurotic","['closed to experience', 'conscientious', 'slightly introverted', 'antagonistic', 'neurotic']",7,11,12,15,10
"closed to experience, conscientious, introverted, highly antagonistic and neurotic","['closed to experience', 'conscientious', 'introverted', 'highly antagonistic', 'neurotic']",5,12,11,15,10
"closed to experience, conscientious, introverted, slightly antagonistic and neurotic","['closed to experience', 'conscientious', 'introverted', 'slightly antagonistic', 'neurotic']",8,11,12,15,11
"closed to experience, conscientious, introverted, antagonistic and highly neurotic","['closed to experience', 'conscientious', 'introverted', 'antagonistic', 'highly neurotic']",5,9,11,15,10
"closed to experience, conscientious, introverted, antagonistic and slightly neurotic","['closed to experience', 'conscientious', 'introverted', 'antagonistic', 'slightly neurotic']",7,9,12,15,11
"highly closed to experience, conscientious, introverted, antagonistic and emotionally stable","['highly closed to experience', 'conscientious', 'introverted', 'antagonistic', 'emotionally stable']",6,8,12,14,10
"slightly closed to experience, conscientious, introverted, antagonistic and emotionally stable","['slightly closed to experience', 'conscientious', 'introverted', 'antagonistic', 'emotionally stable']",6,8,12,13,7
"closed to experience, highly conscientious, introverted, antagonistic and emotionally stable","['closed to experience', 'highly conscientious', 'introverted', 'antagonistic', 'emotionally stable']",6,7,12,14,10
"closed to experience, slightly conscientious, introverted, antagonistic and emotionally stable","['closed to experience', 'slightly conscientious', 'introverted', 'antagonistic', 'emotionally stable']",5,6,9,10,6
"closed to experience, conscientious, highly introverted, antagonistic and emotionally stable","['closed to experience', 'conscientious', 'highly introverted', 'antagonistic', 'emotionally stable']",5,6,11,14,10
"closed to experience, conscientious, slightly introverted, antagonistic and emotionally stable","['closed to experience', 'conscientious', 'slightly introverted', 'antagonistic', 'emotionally stable']",7,9,12,14,10
"closed to experience, conscientious, introverted, highly antagonistic and emotionally stable","['closed to experience', 'conscientious', 'introverted', 'highly antagonistic', 'emotionally stable']",6,7,12,13,10
"closed to experience, conscientious, introverted, slightly antagonistic and emotionally stable","['closed to experience', 'conscientious', 'introverted', 'slightly antagonistic', 'emotionally stable']",7,8,12,14,9
"closed to experience, conscientious, introverted, antagonistic and highly emotionally stable","['closed to experience', 'conscientious', 'introverted', 'antagonistic', 'highly emotionally stable']",6,7,12,14,10
"closed to experience, conscientious, introverted, antagonistic and slightly emotionally stable","['closed to experience', 'conscientious', 'introverted', 'antagonistic', 'slightly emotionally stable']",6,7,12,14,10
"highly closed to experience, unconscientious, extroverted, agreeable and neurotic","['highly closed to experience', 'unconscientious', 'extroverted', 'agreeable', 'neurotic']",6,5,8,2,6
"slightly closed to experience, unconscientious, extroverted, agreeable and neurotic","['slightly closed to experience', 'unconscientious', 'extroverted', 'agreeable', 'neurotic']",9,8,9,6,7
"closed to experience, highly unconscientious, extroverted, agreeable and neurotic","['closed to experience', 'highly unconscientious', 'extroverted', 'agreeable', 'neurotic']",6,5,8,1,5
"closed to experience, slightly unconscientious, extroverted, agreeable and neurotic","['closed to experience', 'slightly unconscientious', 'extroverted', 'agreeable', 'neurotic']",10,8,9,7,7
"closed to experience, unconscientious, highly extroverted, agreeable and neurotic","['closed to experience', 'unconscientious', 'highly extroverted', 'agreeable', 'neurotic']",7,6,8,2,6
"closed to experience, unconscientious, slightly extroverted, agreeable and neurotic","['closed to experience', 'unconscientious', 'slightly extroverted', 'agreeable', 'neurotic']",6,6,6,6,5
"closed to experience, unconscientious, extroverted, highly agreeable and neurotic","['closed to experience', 'unconscientious', 'extroverted', 'highly agreeable', 'neurotic']",15,10,11,10,7
"closed to experience, unconscientious, extroverted, slightly agreeable and neurotic","['closed to experience', 'unconscientious', 'extroverted', 'slightly agreeable', 'neurotic']",5,5,6,5,4
"closed to experience, unconscientious, extroverted, agreeable and highly neurotic","['closed to experience', 'unconscientious', 'extroverted', 'agreeable', 'highly neurotic']",8,5,11,10,6
"closed to experience, unconscientious, extroverted, agreeable and slightly neurotic","['closed to experience', 'unconscientious', 'extroverted', 'agreeable', 'slightly neurotic']",7,5,7,2,5
"highly closed to experience, unconscientious, extroverted, agreeable and emotionally stable","['highly closed to experience', 'unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",5,5,3,0,3
"slightly closed to experience, unconscientious, extroverted, agreeable and emotionally stable","['slightly closed to experience', 'unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",8,8,7,4,4
"closed to experience, highly unconscientious, extroverted, agreeable and emotionally stable","['closed to experience', 'highly unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",5,5,5,1,3
"closed to experience, slightly unconscientious, extroverted, agreeable and emotionally stable","['closed to experience', 'slightly unconscientious', 'extroverted', 'agreeable', 'emotionally stable']",8,8,7,5,5
"closed to experience, unconscientious, highly extroverted, agreeable and emotionally stable","['closed to experience', 'unconscientious', 'highly extroverted', 'agreeable', 'emotionally stable']",6,5,5,0,3
"closed to experience, unconscientious, slightly extroverted, agreeable and emotionally stable","['closed to experience', 'unconscientious', 'slightly extroverted', 'agreeable', 'emotionally stable']",6,5,5,4,4
"closed to experience, unconscientious, extroverted, highly agreeable and emotionally stable","['closed to experience', 'unconscientious', 'extroverted', 'highly agreeable', 'emotionally stable']",13,11,8,3,6
"closed to experience, unconscientious, extroverted, slightly agreeable and emotionally stable","['closed to experience', 'unconscientious', 'extroverted', 'slightly agreeable', 'emotionally stable']",5,5,6,3,3
"closed to experience, unconscientious, extroverted, agreeable and highly emotionally stable","['closed to experience', 'unconscientious', 'extroverted', 'agreeable', 'highly emotionally stable']",5,5,2,2,3
"closed to experience, unconscientious, extroverted, agreeable and slightly emotionally stable","['closed to experience', 'unconscientious', 'extroverted', 'agreeable', 'slightly emotionally stable']",5,5,7,2,4
"highly closed to experience, unconscientious, extroverted, antagonistic and neurotic","['highly closed to experience', 'unconscientious', 'extroverted', 'antagonistic', 'neurotic']",3,3,9,9,5
"slightly closed to experience, unconscientious, extroverted, antagonistic and neurotic","['slightly closed to experience', 'unconscientious', 'extroverted', 'antagonistic', 'neurotic']",3,4,10,9,4
"closed to experience, highly unconscientious, extroverted, antagonistic and neurotic","['closed to experience', 'highly unconscientious', 'extroverted', 'antagonistic', 'neurotic']",3,0,8,9,5
"closed to experience, slightly unconscientious, extroverted, antagonistic and neurotic","['closed to experience', 'slightly unconscientious', 'extroverted', 'antagonistic', 'neurotic']",3,4,10,9,4
"closed to experience, unconscientious, highly extroverted, antagonistic and neurotic","['closed to experience', 'unconscientious', 'highly extroverted', 'antagonistic', 'neurotic']",2,2,10,9,5
"closed to experience, unconscientious, slightly extroverted, antagonistic and neurotic","['closed to experience', 'unconscientious', 'slightly extroverted', 'antagonistic', 'neurotic']",3,3,9,9,5
"closed to experience, unconscientious, extroverted, highly antagonistic and neurotic","['closed to experience', 'unconscientious', 'extroverted', 'highly antagonistic', 'neurotic']",5,5,10,10,5
"closed to experience, unconscientious, extroverted, slightly antagonistic and neurotic","['closed to experience', 'unconscientious', 'extroverted', 'slightly antagonistic', 'neurotic']",3,3,9,8,4
"closed to experience, unconscientious, extroverted, antagonistic and highly neurotic","['closed to experience', 'unconscientious', 'extroverted', 'antagonistic', 'highly neurotic']",5,3,10,10,5
"closed to experience, unconscientious, extroverted, antagonistic and slightly neurotic","['closed to experience', 'unconscientious', 'extroverted', 'antagonistic', 'slightly neurotic']",2,3,9,9,4
"highly closed to experience, unconscientious, extroverted, antagonistic and emotionally stable","['highly closed to experience', 'unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",0,1,8,9,3
"slightly closed to experience, unconscientious, extroverted, antagonistic and emotionally stable","['slightly closed to experience', 'unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",4,3,8,8,3
"closed to experience, highly unconscientious, extroverted, antagonistic and emotionally stable","['closed to experience', 'highly unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",0,0,7,8,3
"closed to experience, slightly unconscientious, extroverted, antagonistic and emotionally stable","['closed to experience', 'slightly unconscientious', 'extroverted', 'antagonistic', 'emotionally stable']",3,3,8,8,3
"closed to experience, unconscientious, highly extroverted, antagonistic and emotionally stable","['closed to experience', 'unconscientious', 'highly extroverted', 'antagonistic', 'emotionally stable']",0,0,8,9,3
"closed to experience, unconscientious, slightly extroverted, antagonistic and emotionally stable","['closed to experience', 'unconscientious', 'slightly extroverted', 'antagonistic', 'emotionally stable']",0,2,8,8,3
"closed to experience, unconscientious, extroverted, highly antagonistic and emotionally stable","['closed to experience', 'unconscientious', 'extroverted', 'highly antagonistic', 'emotionally stable']",2,2,9,9,4
"closed to experience, unconscientious, extroverted, slightly antagonistic and emotionally stable","['closed to experience', 'unconscientious', 'extroverted', 'slightly antagonistic', 'emotionally stable']",2,3,6,5,2
"closed to experience, unconscientious, extroverted, antagonistic and highly emotionally stable","['closed to experience', 'unconscientious', 'extroverted', 'antagonistic', 'highly emotionally stable']",0,0,8,8,2
"closed to experience, unconscientious, extroverted, antagonistic and slightly emotionally stable","['closed to experience', 'unconscientious', 'extroverted', 'antagonistic', 'slightly emotionally stable']",2,3,8,9,3
"highly closed to experience, unconscientious, introverted, agreeable and neurotic","['highly closed to experience', 'unconscientious', 'introverted', 'agreeable', 'neurotic']",5,5,11,10,10
"slightly closed to experience, unconscientious, introverted, agreeable and neurotic","['slightly closed to experience', 'unconscientious', 'introverted', 'agreeable', 'neurotic']",8,8,8,8,8
"closed to experience, highly unconscientious, introverted, agreeable and neurotic","['closed to experience', 'highly unconscientious', 'introverted', 'agreeable', 'neurotic']",6,4,7,7,6
"closed to experience, slightly unconscientious, introverted, agreeable and neurotic","['closed to experience', 'slightly unconscientious', 'introverted', 'agreeable', 'neurotic']",9,7,8,9,8
"closed to experience, unconscientious, highly introverted, agreeable and neurotic","['closed to experience', 'unconscientious', 'highly introverted', 'agreeable', 'neurotic']",10,6,8,10,10
"closed to experience, unconscientious, slightly introverted, agreeable and neurotic","['closed to experience', 'unconscientious', 'slightly introverted', 'agreeable', 'neurotic']",7,7,7,8,6
"closed to experience, unconscientious, introverted, highly agreeable and neurotic","['closed to experience', 'unconscientious', 'introverted', 'highly agreeable', 'neurotic']",15,13,11,14,10
"closed to experience, unconscientious, introverted, slightly agreeable and neurotic","['closed to experience', 'unconscientious', 'introverted', 'slightly agreeable', 'neurotic']",4,5,6,6,4
"closed to experience, unconscientious, introverted, agreeable and highly neurotic","['closed to experience', 'unconscientious', 'introverted', 'agreeable', 'highly neurotic']",10,8,11,10,10
"closed to experience, unconscientious, introverted, agreeable and slightly neurotic","['closed to experience', 'unconscientious', 'introverted', 'agreeable', 'slightly neurotic']",7,5,6,8,5
"highly closed to experience, unconscientious, introverted, agreeable and emotionally stable","['highly closed to experience', 'unconscientious', 'introverted', 'agreeable', 'emotionally stable']",4,4,5,9,3
"slightly closed to experience, unconscientious, introverted, agreeable and emotionally stable","['slightly closed to experience', 'unconscientious', 'introverted', 'agreeable', 'emotionally stable']",7,8,6,6,4
"closed to experience, highly unconscientious, introverted, agreeable and emotionally stable","['closed to experience', 'highly unconscientious', 'introverted', 'agreeable', 'emotionally stable']",4,3,4,2,3
"closed to experience, slightly unconscientious, introverted, agreeable and emotionally stable","['closed to experience', 'slightly unconscientious', 'introverted', 'agreeable', 'emotionally stable']",8,8,7,8,6
"closed to experience, unconscientious, highly introverted, agreeable and emotionally stable","['closed to experience', 'unconscientious', 'highly introverted', 'agreeable', 'emotionally stable']",5,5,5,6,3
"closed to experience, unconscientious, slightly introverted, agreeable and emotionally stable","['closed to experience', 'unconscientious', 'slightly introverted', 'agreeable', 'emotionally stable']",6,6,6,7,4
"closed to experience, unconscientious, introverted, highly agreeable and emotionally stable","['closed to experience', 'unconscientious', 'introverted', 'highly agreeable', 'emotionally stable']",13,11,8,12,6
"closed to experience, unconscientious, introverted, slightly agreeable and emotionally stable","['closed to experience', 'unconscientious', 'introverted', 'slightly agreeable', 'emotionally stable']",4,5,5,6,3
"closed to experience, unconscientious, introverted, agreeable and highly emotionally stable","['closed to experience', 'unconscientious', 'introverted', 'agreeable', 'highly emotionally stable']",4,4,4,5,1
"closed to experience, unconscientious, introverted, agreeable and slightly emotionally stable","['closed to experience', 'unconscientious', 'introverted', 'agreeable', 'slightly emotionally stable']",4,5,4,5,3
"highly closed to experience, unconscientious, introverted, antagonistic and neurotic","['highly closed to experience', 'unconscientious', 'introverted', 'antagonistic', 'neurotic']",4,2,10,9,5
"slightly closed to experience, unconscientious, introverted, antagonistic and neurotic","['slightly closed to experience', 'unconscientious', 'introverted', 'antagonistic', 'neurotic']",3,4,10,9,5
"closed to experience, highly unconscientious, introverted, antagonistic and neurotic","['closed to experience', 'highly unconscientious', 'introverted', 'antagonistic', 'neurotic']",2,0,7,8,4
"closed to experience, slightly unconscientious, introverted, antagonistic and neurotic","['closed to experience', 'slightly unconscientious', 'introverted', 'antagonistic', 'neurotic']",3,3,11,9,6
"closed to experience, unconscientious, highly introverted, antagonistic and neurotic","['closed to experience', 'unconscientious', 'highly introverted', 'antagonistic', 'neurotic']",5,0,10,9,5
"closed to experience, unconscientious, slightly introverted, antagonistic and neurotic","['closed to experience', 'unconscientious', 'slightly introverted', 'antagonistic', 'neurotic']",3,3,10,9,5
"closed to experience, unconscientious, introverted, highly antagonistic and neurotic","['closed to experience', 'unconscientious', 'introverted', 'highly antagonistic', 'neurotic']",5,5,10,10,5
"closed to experience, unconscientious, introverted, slightly antagonistic and neurotic","['closed to experience', 'unconscientious', 'introverted', 'slightly antagonistic', 'neurotic']",3,3,7,8,6
"closed to experience, unconscientious, introverted, antagonistic and highly neurotic","['closed to experience', 'unconscientious', 'introverted', 'antagonistic', 'highly neurotic']",5,2,10,9,5
"closed to experience, unconscientious, introverted, antagonistic and slightly neurotic","['closed to experience', 'unconscientious', 'introverted', 'antagonistic', 'slightly neurotic']",2,1,9,9,4
"highly closed to experience, unconscientious, introverted, antagonistic and emotionally stable","['highly closed to experience', 'unconscientious', 'introverted', 'antagonistic', 'emotionally stable']",0,1,7,8,3
"slightly closed to experience, unconscientious, introverted, antagonistic and emotionally stable","['slightly closed to experience', 'unconscientious', 'introverted', 'antagonistic', 'emotionally stable']",3,3,7,6,4
"closed to experience, highly unconscientious, introverted, antagonistic and emotionally stable","['closed to experience', 'highly unconscientious', 'introverted', 'antagonistic', 'emotionally stable']",0,0,6,8,2
"closed to experience, slightly unconscientious, introverted, antagonistic and emotionally stable","['closed to experience', 'slightly unconscientious', 'introverted', 'antagonistic', 'emotionally stable']",3,3,7,7,4
"closed to experience, unconscientious, highly introverted, antagonistic and emotionally stable","['closed to experience', 'unconscientious', 'highly introverted', 'antagonistic', 'emotionally stable']",0,0,5,7,2
"closed to experience, unconscientious, slightly introverted, antagonistic and emotionally stable","['closed to experience', 'unconscientious', 'slightly introverted', 'antagonistic', 'emotionally stable']",0,2,7,7,3
"closed to experience, unconscientious, introverted, highly antagonistic and emotionally stable","['closed to experience', 'unconscientious', 'introverted', 'highly antagonistic', 'emotionally stable']",2,0,9,9,3
"closed to experience, unconscientious, introverted, slightly antagonistic and emotionally stable","['closed to experience', 'unconscientious', 'introverted', 'slightly antagonistic', 'emotionally stable']",3,2,6,6,4
"closed to experience, unconscientious, introverted, antagonistic and highly emotionally stable","['closed to experience', 'unconscientious', 'introverted', 'antagonistic', 'highly emotionally stable']",0,0,5,7,2
"closed to experience, unconscientious, introverted, antagonistic and slightly emotionally stable","['closed to experience', 'unconscientious', 'introverted', 'antagonistic', 'slightly emotionally stable']",2,2,7,8,3
